site,lat,lng,zip,name,address,phone,email,web
"fullers","51.5189","-0.132277","W1T 7QN","The Jack Horner","London","","",""
"fullers","51.1676","-0.859514","GU34 4QD","The Jolly Farmer, Alton","Alton","","",""
"fullers","51.493","-0.138318","SW1V 1DX","The Jugged Hare","London","","",""
"fullers","51.2866","-0.088984","CR3 5UA","The King & Queen","Caterham on the Hill","","",""
"fullers","51.8479","-1.35457","OX20 1SU","The King's Arms","Woodstock","","",""
"fullers","51.4935","-0.192733","SW5 0QT","The King's Head, Earl's Court","London","","",""
"fullers","51.2426","-0.57118","GU1 4JW","The King's Head","Guildford","","",""
"fullers","50.8999","-1.18791","PO17 5JN","The King's Head","Fareham","","",""
"fullers","51.295","-0.212624","KT20 6EB","The Kingswood Arms","Banstead","","",""
"fullers","51.4695","-0.449867","TW6 1EW","The London's Pride, Heathrow","London","","",""
"fullers","51.5117","-0.125715","WC2E 9EB","The Lamb & Flag","London","","",""
"fullers","51.4933","-0.216634","W6 8BS","The Latymers","London","","",""
"fullers","51.0694","-0.805972","GU30 7EF","The Links Tavern","Liphook","","",""
"fullers","51.402","-1.3243","RG14 1AA","The Lock Stock & Barrel","Newbury","","",""
"fullers","51.4509","0.012234","SE12 8PU","The Lord Northbrook","London","","",""
"fullers","51.5176","-0.17754","W2 1HB","The Mad Bishop & Bear","London","","",""
"fullers","51.5069","-0.104952","SE1 9NY","The Mad Hatter Hotel, Southwark","London","","",""
"fullers","51.2378","-0.205822","RH2 9AY","The Market Stores","Reigate","","",""
"fullers","51.4766","-0.146848","SW8 4BT","The Mason's Arms, Battersea","London","","",""
"fullers","51.149","-1.45563","SO20 6AX","The Mayfly, Stockbridge","Nr. Stockbridge","","",""
"fullers","51.1865","-0.708486","GU8 6LE","The Mill at Elstead, Godalming","Elstead","","",""
"fullers","50.8905","-1.5274","SO40 7AA","The New Forest","Ashurst","","",""
"fullers","51.4879265","-0.28826043","TW8 0FJ","One Over the Ait","Brentford","","",""
"fullers","51.0687","-1.79518","SP1 1EU","The Ox Row Inn","Salisbury","","",""
"fullers","50.8634","-1.59508","SO43 7FD","The Oak Inn","Lyndhurst","","",""
"fullers","51.4597","-0.166405","SW11 1NJ","The Old Bank, Battersea","London","","",""
"fullers","50.7951","-1.10643","PO1 3TY","The Old Customs House, Gunwharf Quays","Portsmouth","","",""
"fullers","51.4537","-2.59304","BS1 1QZ","The Old Fish Market","Bristol","","",""
"fullers","52.4807","-1.9001","B2 5NY","The Old Joint Stock Pub & Theatre","Birmingham","","",""
"fullers","51.4928","-0.266778","W4 5TF","The Old Pack Horse","London","","",""
"fullers","51.4608","-0.270947","SW14 7AF","The Plough","London","","",""
"fullers","51.7336","-0.461753","HP3 9RH","The Paper Mill","Hemel Hempstead","","",""
"fullers","51.5324","-0.123981","N1C 4AH","The Parcel Yard, King's Cross","London","","",""
"fullers","51.4052","0.014274","BR1 1HE","The Partridge","Bromley","","",""
"fullers","51.513","-0.09403","EC4M 9BR","The Pavilion End","London","","",""
"fullers","50.8846","-1.45034","SO40 4WU","The Pilgrim Inn","Southampton","","",""
"fullers","51.4902","-0.277309","W4 4BZ","The Pilot, Chiswick","London","","",""
"fullers","51.4962","0.010479","SE10 0BE","The Pilot","London","","",""
"fullers","51.4973","-0.312715","W5 4XB","The Plough Inn","London","","",""
"fullers","51.4419","-0.344558","TW2 5QB","The Prince Albert","Twickenham","","",""
"fullers","51.4443","-0.344968","TW2 5AG","The Prince Blucher","Twickenham","","",""
"fullers","51.4604","-0.306418","TW9 1LX","The Prince's Head","Richmond","","",""
"fullers","51.2208","-0.765323","GU10 1NX","The Princess Royal","Farnham","","",""
"fullers","51.46864","-0.44985","TW6 1EW","The Queen's Arms","London","","",""
"fullers","51.496","-0.22066","W6 7BL","The Queen's Head","London","","",""
"fullers","51.4186","-0.301329","KT2 5HA","The Queen's Head","Kingston upon Thames","","",""
"fullers","51.7025","-0.617453","HP5 1JD","The Queen's Head","Old Chesham","","",""
"fullers","51.4755","-0.239067","SW13 9RU","The Red Lion","London","","",""
"fullers","50.9377","-0.961716","PO8 0BG","The Red Lion, Chalton","Waterlooville","","",""
"fullers","51.5348","-0.461022","UB8 3QP","The Red Lion Hotel, Hillingdon","Uxbridge","","",""
"fullers","51.5083","-0.136372","SW1Y 6JP","The Red Lion, Mayfair","London","","",""
"fullers","51.5021","-0.1257","SW1A 2NH","The Red Lion, Parliament Street","London","","",""
"fullers","52.4819","-1.90027","B3 2NP","The Roebuck ","Birmingham","","",""
"fullers","51.5041","-0.305941","W5 4HN","The Rose & Crown","London","","",""
"fullers","51.5112","-0.125538","WC2E 9BF","The Round House","London","","",""
"fullers","51.483","-0.014343","SE10 9FR","The Sail Loft","London","","",""
"fullers","51.5135","-0.0938","EC4M 9DQ","The Saint Bow Lane","London","","",""
"fullers","51.4996","-0.131903","SW1H 9LA","The Sanctuary House Hotel, Westminster","London","","",""
"fullers","51.4969","-0.199193","W8 6HE","The Scarsdale Tavern","London","","",""
"fullers","51.5124","-0.101497","EC4V 5DE","Shaws Booksellers, EC4","London","","",""
"fullers","51.4994","-0.096864","SE1 1DX","The Ship","London","","",""
"fullers","50.8376","-0.980585","PO9 1RD","The Ship Inn","Havant","","",""
"fullers","51.4114","-0.830497","RG40 1XH","The Ship Inn","Wokingham","","",""
"fullers","51.514","-0.13433","W1F 0TT","The Ship, Soho","London","","",""
"fullers","51.5282","-0.133943","NW1 2DU","The Signal Box","London","","",""
"fullers","51.7497","-0.983172","OX9 2AD","The Six Bells","Thame","","",""
"fullers","50.897","-1.01702","PO8 8XJ","The Spotted Cow","Waterlooville","","",""
"fullers","51.3723","-0.100304","CR0 1NX","The Spread Eagle, Croydon","Croydon","","",""
"fullers","51.4984","-0.1558","SW1X 8HT","The Star Tavern","London","","",""
"fullers","50.7922","-1.10941","PO1 2JL","The Still & West","Old Portsmouth","","",""
"fullers","51.5126","-0.136604","W1F 9NG","The Sun & 13 Cantons","London","","",""
"fullers","51.5207","-0.098202","EC1M 6EB","The Sutton Arms, EC1","London","","",""
"fullers","51.5122","-0.084485","EC3V 1LY","The Swan Tavern, EC3","London","","",""
"fullers","50.8538","-0.553707","BN18 9AG","The Swan Hotel","Arundel","","",""
"fullers","51.4325","-0.51621","TW18 3JB","The Swan Hotel","Staines","","",""
"fullers","51.5117","-0.17659","W2 3PH","The Swan","London","","",""
"fullers","51.4774","-0.28589","TW9 3PZ","The Tap on the Line, Kew","Richmond","","",""
"fullers","51.5157","-0.088762","EC2R 7AR","The Telegraph, Moorgate","London","","",""
"fullers","51.5052","-0.08798","SE1 9SG","The Telephone Exchange","London","","",""
"fullers","50.8301","-0.391905","BN14 7PJ","The Thomas A Becket","Worthing","","",""
"fullers","51.5152","-0.08943","EC2R 6DA","The Tokenhouse, Moorgate","London","","",""
"fullers","51.5011024","-0.0937387","SE1 1JX","The Trinity","London","","",""
"fullers","51.4564","-0.32293","TW1 1LF","The Turk's Head","Twickenham","","",""
"fullers","51.4588","-0.972319","RG1 1LY","The Three Guineas","Reading","","",""
"fullers","51.5139","-0.078993","EC3A 5AY","The Trinity Bell, EC3","London","","",""
"fullers","51.5229","-0.201294","W9 2BA","The Union Tavern","London","","",""
"fullers","50.7874","-1.0811","PO5 2SF","The Vaults, Southsea","Portsmouth","","",""
"fullers","51.5162","-0.101586","EC1A 7AA","The Viaduct Tavern, EC1","London","","",""
"fullers","51.5135","-0.171251","W2 2NH","The Victoria","London","","",""
"fullers","51.4347","-0.789735","RG42 5JA","The Victoria Arms","Bracknell","","",""
"fullers","51.5116","-0.088499","EC4N 5AX","The Vintry, EC4","London","","",""
"fullers","51.5038","-0.111483","SE1 8UD","The Wellington Hotel","London","","",""
"fullers","51.5171","-0.299836","W5 2HZ","The Wheatsheaf","London","","",""
"fullers","50.8236","-1.68385","BH24 4AZ","The White Buck","Burley","","",""
"fullers","51.412","-0.311053","KT1 4DA","The White Hart Hotel","Kingston-Upon-Thames","","",""
"fullers","51.5049","-0.101524","SE1 0UG","The White Hart","London","","",""
"fullers","51.1137","-1.48809","SO20 6HF","The White Hart","Stockbridge","","",""
"fullers","51.4615","-0.296128","TW10 6DF","The White Horse","Richmond","","",""
"fullers","51.5585938","-0.280567","HA9 0HP","The White Horse","Wembley","","",""
"fullers","51.2345","-0.577884","GU2 4AJ","The White House","Guildford","","",""
"fullers","50.8983","-1.3982","SO14 3DJ","The White Star Tavern, Southampton","Southampton","","",""
"fullers","52.193","-1.709","CV37 6NH","The White Swan Hotel","Stratford-upon-Avon","","",""
