url,total_reviews,review_id,user,user_review_count,review_date,review_rating,review_url,review_title,review_text,user_visited_date,user_location
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","834279646","mdpurcell","","2022/04/12","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r834279646-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","A most excellent Pizza","One of the better pizzas in our travels through Tennessee. We saw it in Chattanooga, and came to this one in Gatlinburg. You wont regret it........BTW we are pizza snobs. This place was great. We dont do Pizza Hut or national franchises. Please experience this place","April 2022","Ukiah, California"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","834205979","Thebigapple78","","2022/04/11","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r834205979-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Awesome staff!!","Went to the Dudes Daiquiri and had an absolute blast with Mert. He was working the bar. Awesome attitude and just made our day. Thank you","April 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","833430006","Sam-McC2212","","2022/04/04","1","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r833430006-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Matt was Rude","Matt at the bar should be working across the street at Dick's Last Resort because he told my wife to leave our table when I got up to go to the bathroom and wouldn't serve her water or let her sit on the patio. Go to the Pigeon Forge location or just get a less sexist bartender.","April 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","832888854","beverlyn109","","2022/03/30","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r832888854-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Best crust ever!","My husband and I ordered a medium Buffalo chicken pizza. It was very good, best crust Iâve ever had on a pizza!

Server was very attentive and everything was served quickly. We will be back again!","March 2022","Charlestown, Indiana"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","832218580","springlett","","2022/03/24","4","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r832218580-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Bring your wallet but expect good pizza!","Great pizza..just expensive. One medium house special, one small gluten free pizza, cheese bread, 3 drinks....$90 with a tip. Thatâs a lot in my opinion. But it was very good pizza. And friendly service.","March 2022","Buford, Georgia"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","832021945","Dcschrader52","","2022/03/22","4","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r832021945-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Good pizza!","My pizza was very good. Waiter was very friendly and helpful. Didn't have to wait too long for our food. Would ho back when Iâm back in Gatlinburg.","March 2022","Leakesville, Mississippi"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","831640596","michellebW7308LQ","","2022/03/19","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r831640596-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","SO good","We don't have a Mellow Mushroom by us. We stopped in for lunch and the food was so good!! We ended up getting takeout the day before we drove home (16 hours), so we could have leftover pizza in the car for our drive home. The pizza is amazing both hot and cold/leftover.","March 2022",""
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","831494816","attorney07","","2022/03/17","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r831494816-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Try the Shitake pizza!! Wow!","The shitake mushroom was amazing!!! BBQ pizza was also very good. We were there during spring break crush of people and waited 25 minutes or so, but their texting system worked out perfectly and we had time to sample the moonshine next door. Our waiter was very helpful and prompt. We always enjoy going here. Very happy.","March 2022","Nashville, Indiana"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","831333118","ericfleck","","2022/03/16","3","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r831333118-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","There’s better options.","I understand itâs h to e busiest week of the year here but our experience wasn't good. The food was great but service was terrible. We waited for drinks forever. A group sat after us and had their food before we had our drinks.","March 2022","Wellington, Florida"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","831049527","MITraveler60","","2022/03/13","4","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r831049527-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Excellent Pizza!","Looking for a great pizza while visiting Gatlinburg? The Mellow Mushroom is the place to go. The Gatlinburg location isn't the most ""attractive"" of the chain's locations but met our expectations in terms of a much-anticipated sausage and mushroom pizza. (We live in the Midwest and always look forward to finding a Mellow Mushroom during our southern travels.)","March 2022","Michigan"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","831015466","Dennis R","","2022/03/13","2","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r831015466-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Very disappointing.","Our family of 7 stopped in at the mellow mushroom in the center of Gatlinburg, Tenn. I ordered a house special pizza to go. After having the house special pizza at the mellow mushroom Lexington, KY location where the pizza was absolutely the best pizza I've ever eaten. We leave and go to our cabin.My disappointment after opening the box and seeing a pizza that looked like a frozen store brand pizza at your local grocery store. The toppings were sparce with very little cheese, nothing at all like we get at the Lexingtonlocation. I guess the mellow mushroom in Gatlinburg is just another tourist trap. I'll go to the best Italian Cafe and Pizzeria where I know the pizza is outstanding.","March 2022","Bardstown, Kentucky"
"https://www.tripadvisor.com/Restaurant_Review-g60842-d2085195-Reviews-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","2916","825119289","ukcats77","","2022/01/16","5","https://www.tripadvisor.com/ShowUserReviews-g60842-d2085195-r825119289-Mellow_Mushroom_Gatlinburg-Gatlinburg_Tennessee.html","Great meal","Don't overlook this second floor offering. You can overlook the parkway while you enjoy a great pizza with numerous drink options. Our waiter knew his stuff and offered several recommendations upon our asking.","January 2022","Lawrenceburg, Kentucky"
